model_version,variation_id,vcv_accession,gene,old_classification,actual_later_classification,actual_outcome,predicted_class,pathogenic_probability,score_or_probability,correct,analysis_bucket,confidence,key_features,match_confidence,warning_flags,suspected_error_category,manual_review_status,notes,leakage_audit_status,source
V4,2446,not recorded,NEU1,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,13411,not recorded,PRNP,Uncertain significance,Pathogenic/Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.2912171890551943,0.2912171890551943,false,low-confidence,0.7087828109448058,missense_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,14984,not recorded,HBG2,Uncertain significance,Benign,moved_toward_benign,moved_toward_benign,0.3855965280863268,0.3855965280863268,true,low-confidence,0.6144034719136733,noncoding_consequence; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,16985,not recorded,GJA1,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,17509,not recorded,CHAT,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,134565,not recorded,JAK3,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,157511,not recorded,HACD1,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.5255559277611841,0.5255559277611841,true,low-confidence,0.5255559277611841,loss_of_function_consequence; classification_age; record_completeness,high,Missing older fields: phenotypes; Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,180714,not recorded,BRAF,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.3855965280863268,0.3855965280863268,true,low-confidence,0.6144034719136733,noncoding_consequence; classification_age; record_completeness,high,Missing older fields: phenotypes; Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,216501,not recorded,MET,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,234932,not recorded,TRNT1,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.459262909948779,0.459262909948779,false,low-confidence,0.540737090051221,criteria_without_conflict; classification_age; record_completeness,high,In-frame indel was recognized but has zero Version 1 points.; Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,241005,not recorded,ALMS1,Uncertain significance,Benign,moved_toward_benign,moved_toward_benign,0.459262909948779,0.459262909948779,true,low-confidence,0.540737090051221,criteria_without_conflict; classification_age; record_completeness,high,In-frame indel was recognized but has zero Version 1 points.; Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,420050,not recorded,WFS1,Uncertain significance,Pathogenic/Likely pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Missing older fields: phenotypes; Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,471342,not recorded,SLC2A1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,472616,not recorded,RAD51D,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,534526,not recorded,CHRND,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,537353,not recorded,FHL1,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,542820,not recorded,CACNA1A,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,543188,not recorded,MED25,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,565853,not recorded,SCN10A,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,566777,not recorded,SYN1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.44889255951036217,0.44889255951036217,true,low-confidence,0.5511074404896379,synonymous_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,569540,not recorded,STK11,Uncertain significance,Pathogenic,moved_toward_pathogenic,moved_toward_benign,0.34992491064157955,0.34992491064157955,false,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,model over-predicted benign,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,570839,not recorded,PC,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,572089,not recorded,PLCB1,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,577257,not recorded,CHRNB2,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.34992491064157955,0.34992491064157955,true,low-confidence,0.6500750893584204,missense_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,579263,not recorded,ATM,Uncertain significance,Likely benign,moved_toward_benign,moved_toward_benign,0.4669423869756498,0.4669423869756498,true,low-confidence,0.5330576130243502,noncoding_consequence; criteria_without_conflict; classification_age; record_completeness,high,,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
V4,581974,not recorded,SMAD4,Uncertain significance,Likely pathogenic,moved_toward_pathogenic,moved_toward_pathogenic,0.6107324150878616,0.6107324150878616,true,low-confidence,0.6107324150878616,loss_of_function_consequence; criteria_without_conflict; classification_age; record_completeness,high,Condition aggregation differed between snapshots.,unknown,unreviewed,,pass,recorded hidden_test_predictions.csv
